Age,Commit message (Expand),Author,Files,Lines
2022-07-02,9p: Make the path walk logic more clear about when cloning is required,Tyler Hicks,1,-4/+3
2022-07-02,9p: Track the root fid with its own variable during lookups,Tyler Hicks,1,-12/+14
2022-07-01,arm64: Do not forget syscall when starting a new thread.,Francis Laniel,1,-1/+2
2022-06-27,arm64: Copy the task argument to unwind_state,Madhavan T. Venkataraman,1,-13/+20
2022-06-27,arm64: Split unwind_init(),Madhavan T. Venkataraman,1,-11/+55
2022-06-24,cifs: avoid deadlocks while updating iface,Shyam Prasad N,2,-15/+33
2022-06-23,dma-direct: use the correct size for dma_set_encrypted(),Dexuan Cui,1,-3/+2
2022-06-22,cifs: periodically query network interfaces from server,Shyam Prasad N,4,-1/+35
2022-06-22,"cifs: during reconnect, update interface if necessary",Shyam Prasad N,3,-0/+88
2022-06-22,cifs: change iface_list from array to sorted linked list,Shyam Prasad N,6,-129/+201
2022-06-22,smb3: use netname when available on secondary channels,Shyam Prasad N,1,-2/+9
2022-06-20,smb3: fix empty netname context on secondary channels,Steve French,1,-6/+8
2022-06-18,"cifs: when a channel is not found for server, log its connection id",Shyam Prasad N,1,-0/+3
2022-06-16,scsi: storvsc: Correct reporting of Hyper-V I/O size limits,Saurabh Sengar,1,-5/+22
2022-06-16,smb3: add trace point for SMB2_set_eof,Steve French,2,-0/+40
2022-06-16,net: mana: Add support of XDP_REDIRECT action,Haiyang Zhang,4,-2/+93
2022-06-16,net: mana: Add the Linux MANA PF driver,Dexuan Cui,6,-4/+267
2022-06-15,x86/Hyper-V: Add SEV negotiate protocol support in Isolation VM,Tianyu Lan,3,-6/+88
2022-06-15,9p: Fix refcounting during full path walks for fid lookups,Tyler Hicks,1,-13/+9
2022-06-10,cifs: populate empty hostnames for extra channels,Shyam Prasad N,2,-1/+8
2022-06-10,Drivers: hv: vmbus: Release cpu lock in error case,Saurabh Sengar,1,-0/+1
2022-06-08,HID: hyperv: Correctly access fields declared as __le16,Michael Kelley,1,-2/+3
2022-06-08,Drivers: hv: vmbus: Don't assign VMbus channel interrupts to isolated CPUs,Saurabh Sengar,2,-5/+16
2022-06-06,cifs: return errors during session setup during reconnects,Shyam Prasad N,1,-0/+3
2022-06-04,cifs: fix uninitialized pointer in error case in dfs_cache_get_tgt_share,Steve French,1,-1/+2
2022-06-01,cifs: update internal module number,Steve French,1,-2/+3
2022-06-01,cifs: version operations for smb20 unneeded when legacy support disabled,Steve French,2,-2/+9
2022-06-01,cifs: do not build smb1ops if legacy support is disabled,Steve French,1,-1/+3
2022-05-30,drm/hyperv : Removing the restruction of VRAM allocation with PCI bar size,Saurabh Sengar,1,-71/+3
2022-05-27,smb3: remove unneeded null check in cifs_readdir,Steve French,2,-4/+3
2022-05-26,hv_balloon: Fix balloon_probe() and balloon_remove() error handling,Shradha Gupta,1,-5/+16
2022-05-26,scsi: storvsc: Removing Pre Win8 related logic,Saurabh Sengar,1,-116/+39
2022-05-24,cifs: avoid parallel session setups on same channel,Shyam Prasad N,5,-7/+65
2022-05-24,cifs: use new enum for ses_status,Shyam Prasad N,8,-32/+39
2022-05-24,cifs: do not use tcpStatus after negotiate completes,Shyam Prasad N,3,-14/+15
2022-05-23,smb3: add mount parm nosparse,Steve French,5,-1/+11
2022-05-23,smb3: don't set rc when used and unneeded in query_info_compound,Steve French,1,-1/+1
2022-05-23,smb3: check for null tcon,Steve French,1,-2/+5
2022-05-23,cifs: fix minor compile warning,Steve French,1,-0/+2
2022-05-23,Add various fsctl structs,Steve French,2,-29/+101
